timestamp,distance,rx_power,fp_power
0,2.27,-89.07,-92.91
101,2.29,-86.4,-93.3
226,2.58,-88.71,-93.37
327,2.59,-86.18,-92.09
430,2.47,-86.33,-92.28
554,2.37,-85.28,-92.4
656,2.17,-88.04,-93.78
883,2.18,-86.52,-93.54
984,2.1,-86.95,-93.19
1085,1.98,-86.46,-92.1
1210,2.07,-85.22,-93.4
1312,1.92,-86.96,-93.87
1415,1.92,-85.86,-92.57
1538,1.96,-84.79,-91.79
1640,2.08,-84.97,-96.45
1741,2.55,-83.76,-98.71
1866,2.11,-84.89,-91.97
1968,2.09,-84.08,-92.31
2069,2.19,-86.01,-94.16
2195,2.24,-85.38,-93.09
2297,2.17,-84.01,-92.69
2399,2.16,-83.12,-92.5
2523,2.43,-85.09,-93.66
2624,2.51,-89.87,-104.12
2727,2.17,-89.11,-107.42
2851,2.37,-91.27,-100.46
2952,2.7,-90.69,-100.88
3179,2.62,-88.21,-102.03
3281,2.51,-90.32,-105.23
3382,2.59,-88.32,-96.5
3507,2.62,-89.19,-98.96
3609,2.54,-90.26,-102.63
3712,2.35,-89.52,-98.16
3835,2.4,-90.6,-100.44
3936,2.71,-89.51,-95.25
4039,2.64,-90.46,-99.03
