timestamp,distance,rx_power,fp_power
0,4.21,-87.55,-95.73
103,5.06,-91.58,-97.67
229,4.24,-89.6,-104.4
329,5.09,-90.38,-101.09
432,4.98,-90.03,-103.55
558,5.03,-88.49,-107.35
657,5.06,-88.71,-101.05
760,5.06,-86.86,-96.02
886,5.39,-86.18,-99.19
985,5.43,-86.59,-100.88
1087,5.61,-85.2,-94.65
1215,5.03,-87.35,-98.22
1313,5.05,-87.85,-94.01
1416,5.4,-87.22,-92.36
1642,4.79,-86.51,-92.2
1743,4.67,-86.13,-93.69
1846,4.97,-88.99,-93.13
1970,4.57,-89.06,-93.53
2073,4.18,-87.75,-100.49
2175,4.29,-88.31,-96.46
2300,4.12,-88.8,-97.2
2401,3.94,-84.64,-98.99
2503,3.78,-86.19,-98.98
2628,3.6,-83.11,-96.73
2729,4.19,-83.08,-95.3
2832,3.82,-82.23,-91.98
2956,3.35,-83.61,-93.49
3057,3.32,-82.61,-92.1
3160,3.2,-83.42,-91.67
3284,3.11,-83.72,-92.63
3385,3.09,-82.37,-92.39
3488,2.99,-82.75,-92.25
3612,2.9,-81.97,-92.45
3713,2.91,-80.46,-91.96
3940,2.66,-81.69,-95.45
