timestamp,distance,rx_power,fp_power
0,3.02,-81.26,-93.63
111,3.01,-81.23,-93.23
204,3.01,-81.69,-93.96
329,3.04,-81.52,-92.85
440,3.04,-81.1,-92.9
533,2.99,-81.64,-93.41
656,3.03,-81.28,-93.92
769,3.03,-80.91,-92.75
860,3.06,-80.92,-93.45
985,3.04,-81.09,-94.07
1097,3.03,-81.1,-94.38
1189,3.02,-81.12,-94.22
1312,3.03,-81.33,-94.0
1425,3.02,-81.15,-93.24
1642,3.03,-81.14,-94.33
1754,3.03,-80.77,-93.47
1846,3.04,-81.22,-93.37
1970,3.02,-81.53,-93.95
2083,3.03,-81.29,-93.39
2173,3.0,-81.32,-93.85
2299,3.03,-81.13,-94.21
2412,3.02,-80.93,-93.98
2503,3.02,-81.14,-94.04
2627,3.05,-80.75,-93.86
2740,3.05,-81.07,-95.02
2831,3.0,-81.25,-94.57
2954,3.0,-81.67,-95.98
3069,2.98,-80.99,-94.82
3159,2.98,-81.61,-95.27
3284,2.96,-81.57,-95.87
3397,3.0,-81.69,-96.78
3487,2.99,-81.63,-94.47
3610,3.01,-81.48,-95.23
3725,2.96,-81.75,-94.77
3939,3.03,-81.8,-95.66
