timestamp,distance,rx_power,fp_power
0,3.73,-84.94,-92.64
101,4.08,-86.03,-91.75
328,4.72,-86.53,-92.84
429,4.79,-88.6,-93.08
541,4.72,-89.64,-100.15
656,4.72,-89.52,-101.28
757,5.09,-89.33,-93.98
869,4.9,-89.78,-97.77
984,4.94,-86.64,-92.82
1087,4.85,-83.35,-92.31
1197,4.71,-87.42,-96.93
1312,4.87,-84.88,-94.36
1413,4.81,-86.2,-91.86
1525,4.55,-85.0,-92.61
1639,4.6,-85.51,-91.65
1741,4.55,-86.83,-93.37
1853,4.27,-88.7,-93.51
1968,4.34,-86.76,-92.77
2070,4.14,-86.43,-95.29
2182,3.85,-86.24,-95.8
2297,3.91,-86.41,-94.87
2397,3.68,-84.89,-97.26
2624,3.59,-83.29,-92.4
2725,3.42,-82.89,-93.47
2839,3.22,-82.94,-92.76
2951,3.32,-81.77,-92.62
3054,3.27,-82.68,-93.71
3168,2.84,-81.46,-92.68
3280,2.95,-83.04,-94.27
3381,2.85,-82.41,-92.52
3497,2.48,-82.76,-94.04
3608,2.6,-81.5,-94.77
3709,2.54,-80.35,-91.47
3825,2.15,-81.58,-91.31
3936,2.25,-81.07,-92.95
4037,2.26,-81.74,-93.12
